7, 1.8, 3.6
8, 3.6, 4.409081537009721
6, 7.8, 6.554387843269575
4, 5.4, 4.409081537009721
3, 22.2, 11.68588892639323
1, 51.0, 40.124805295477756
9, 193.8, 74.0416099230696
0, 157.3, 46.7248327979887
2, 195.4, 52.27274624505584
5, 280.0, 93.81684283752038
13, 1.8, 3.6
18, 0.0, 0.0
17, 3.6, 4.409081537009721
14, 6.2, 5.075431016179809
16, 7.4, 4.862098312457287
15, 8.2, 5.2115256883181535
11, 49.8, 55.278929077904536
19, 304.8, 44.98177408684544
10, 197.8, 48.00583297892039
12, 263.8, 31.38407239349285
