4, 302.0, 94.26558226627574
2, 326.7, 54.82161982283996
0, 353.6, 50.12424563023368
1, 309.3, 53.48093118112287
3, 369.0, 37.282703764614496
5, 379.7, 42.687351756697204
7, 376.5, 34.73110997362451
17, 352.5, 55.26526938322114
18, 328.8, 72.02610637817374
8, 300.7, 76.27456981196288
9, 371.7, 28.579888033370597
11, 333.9, 55.75562751866398
12, 365.6, 34.868897315516016
15, 320.9, 79.22935062210216
6, 351.0, 42.261093218230876
16, 342.1, 82.53780951782038
13, 368.8, 34.333074432680796
10, 374.0, 40.80441152620633
19, 358.1, 26.96831474156292
14, 342.6, 50.47415180069894
